Frequency_Hz,Gain_dB,Phase_deg
1.0,86.0163599,8.42840615e-08
1.02329299,86.0163599,8.62472904e-08
1.04712855,86.0163599,8.82562437e-08
1.07151931,86.0163599,9.03120103e-08
1.0964782,86.0163599,9.24156557e-08
1.12201845,86.0163599,9.45682693e-08
1.14815362,86.0163599,9.67710395e-08
1.17489755,86.0163599,9.90251524e-08
1.20226443,86.0163599,1.01331734e-07
1.23026877,86.0163599,1.03692056e-07
1.25892541,86.0163599,1.06107349e-07
1.28824955,86.0163599,1.08578913e-07
1.31825674,86.0163599,1.11108042e-07
1.34896288,86.0163599,1.13696064e-07
1.38038426,86.0163599,1.16344399e-07
1.41253754,86.0163599,1.19054402e-07
1.44543977,86.0163599,1.21827527e-07
1.47910839,86.0163599,1.24665281e-07
1.51356125,86.0163599,1.27569093e-07
1.54881662,86.0163599,1.30540571e-07
1.58489319,86.0163599,1.33581237e-07
1.6218101,86.0163599,1.36692767e-07
1.65958691,86.0163599,1.39876748e-07
1.69824365,86.0163599,1.43134872e-07
1.73780083,86.0163599,1.46468897e-07
1.77827941,86.0163599,1.49880616e-07
1.81970086,86.0163599,1.53371778e-07
1.86208714,86.0163599,1.56944267e-07
1.90546072,86.0163599,1.60599971e-07
1.9498446,86.0163599,1.64340848e-07
1.99526231,86.0163599,1.68168815e-07
2.04173794,86.0163599,1.72085982e-07
2.08929613,86.0163599,1.76094348e-07
2.13796209,86.0163599,1.80196139e-07
2.18776162,86.0163599,1.84393398e-07
2.23872114,86.0163599,1.88688521e-07
2.29086765,86.0163599,1.9308364e-07
2.34422882,86.0163599,1.97581137e-07
2.39883292,86.0163599,2.02183382e-07
2.45470892,86.0163599,2.06892832e-07
2.51188643,86.0163599,2.11711994e-07
2.57039578,86.0163599,2.16643404e-07
2.63026799,86.0163599,2.21689688e-07
2.6915348,86.0163599,2.26853517e-07
2.7542287,86.0163599,2.3213761e-07
2.81838293,86.0163599,2.37544789e-07
2.8840315,86.0163599,2.43077894e-07
2.95120923,86.0163599,2.48739899e-07
3.01995172,86.0163599,2.54533787e-07
3.09029543,86.0163599,2.60462638e-07
3.16227766,86.0163599,2.66529615e-07
3.23593657,86.0163599,2.72737914e-07
3.31131121,86.0163599,2.79090786e-07
3.38844156,86.0163599,2.8559163e-07
3.4673685,86.0163599,2.92243888e-07
3.54813389,86.0163599,2.99051117e-07
3.63078055,86.0163599,3.06016956e-07
3.71535229,86.0163599,3.13145025e-07
3.80189396,86.0163599,3.20439054e-07
3.89045145,86.0163599,3.27903098e-07
3.98107171,86.0163599,3.35540921e-07
4.07380278,86.0163599,3.43356626e-07
4.16869383,86.0163599,3.51354462e-07
4.26579519,86.0163599,3.59538527e-07
4.36515832,86.0163599,3.67913318e-07
4.46683592,86.0163599,3.76483086e-07
4.5708819,86.0163599,3.852525e-07
4.67735141,86.0163599,3.94226155e-07
4.78630092,86.0163599,4.03408901e-07
4.89778819,86.0163599,4.12805544e-07
5.01187234,86.0163599,4.22421029e-07
5.12861384,86.0163599,4.32260411e-07
5.2480746,86.0163599,4.42329104e-07
5.37031796,86.0163599,4.52632232e-07
5.49540874,86.0163599,4.63175381e-07
5.62341325,86.0163599,4.73964177e-07
5.75439937,86.0163599,4.85004153e-07
5.88843655,86.0163599,4.96301416e-07
6.02559586,86.0163599,5.07861691e-07
6.16595002,86.0163599,5.19691358e-07
6.30957344,86.0163599,5.317965e-07
6.45654229,86.0163599,5.44183649e-07
6.60693448,86.0163599,5.56859361e-07
6.76082975,86.0163599,5.69830196e-07
6.91830971,86.0163599,5.83103287e-07
7.07945784,86.0163599,5.96685507e-07
7.2443596,86.0163599,6.1058409e-07
7.41310241,86.0163599,6.24806406e-07
7.58577575,86.0163599,6.39360058e-07
7.76247117,86.0163599,6.5425266e-07
7.94328235,86.0163599,6.69492177e-07
8.12830516,86.0163599,6.85086646e-07
8.31763771,86.0163599,7.01044423e-07
8.51138038,86.0163599,7.17373752e-07
8.7096359,86.0163599,7.3408343e-07
8.91250938,86.0163599,7.51182484e-07
9.12010839,86.0163599,7.68679815e-07
9.33254301,86.0163599,7.86584647e-07
9.54992586,86.0163599,8.04906561e-07
9.77237221,86.0163599,8.23655265e-07
10.0,86.0163599,8.42840582e-07
10.2329299,86.0163599,8.6247299e-07
10.4712855,86.0163599,8.82562465e-07
10.7151931,86.0163599,9.03120007e-07
10.964782,86.0163599,9.24156465e-07
11.2201845,86.0163599,9.45682775e-07
11.4815362,86.0163599,9.67710536e-07
11.7489755,86.0163599,9.90251384e-07
12.0226443,86.0163599,1.01331739e-06
12.3026877,86.0163599,1.03692058e-06
12.5892541,86.0163599,1.06107352e-06
12.8824955,86.0163599,1.08578902e-06
13.1825674,86.0163599,1.11108046e-06
13.4896288,86.0163599,1.1369608e-06
13.8038426,86.0163599,1.16344389e-06
14.1253754,86.0163599,1.19054406e-06
14.4543977,86.0163599,1.21827537e-06
14.7910839,86.0163599,1.24665286e-06
15.1356125,86.0163599,1.27569077e-06
15.4881662,86.0163599,1.30540572e-06
15.8489319,86.0163599,1.33581238e-06
16.218101,86.0163599,1.36692791e-06
16.5958691,86.0163599,1.39876729e-06
16.9824365,86.0163599,1.43134876e-06
17.3780083,86.0163599,1.46468934e-06
17.7827941,86.0163599,1.49880611e-06
18.1970086,86.0163599,1.53371766e-06
18.6208714,86.0163599,1.56944292e-06
19.0546072,86.0163599,1.60599964e-06
19.498446,86.0163599,1.64340828e-06
19.9526231,86.0163599,1.68168826e-06
20.4173794,86.0163599,1.7208597e-06
20.8929613,86.0163599,1.76094356e-06
21.3796209,86.0163599,1.80196171e-06
21.8776162,86.0163599,1.84393443e-06
22.3872114,86.0163599,1.88688524e-06
22.9086765,86.0163599,1.93083657e-06
23.4422882,86.0163599,1.97581125e-06
23.9883292,86.0163599,2.02183383e-06
24.5470892,86.0163599,2.06892839e-06
25.1188643,86.0163599,2.11711983e-06
25.7039578,86.0163599,2.16643416e-06
26.3026799,86.0163599,2.21689681e-06
26.915348,86.0163599,2.26853493e-06
27.542287,86.0163599,2.32137582e-06
28.1838293,86.0163599,2.37544757e-06
28.840315,86.0163599,2.43077888e-06
29.5120923,86.0163599,2.48739898e-06
30.1995172,86.0163599,2.54533807e-06
30.9029543,86.0163599,2.60462668e-06
31.6227766,86.0163599,2.66529671e-06
32.3593657,86.0163599,2.72737857e-06
33.1131121,86.0163599,2.79090754e-06
33.8844156,86.0163599,2.85591619e-06
34.673685,86.0163599,2.92243916e-06
35.4813389,86.0163599,2.99051138e-06
36.3078055,86.0163599,3.06016927e-06
37.1535229,86.0163599,3.13145018e-06
38.0189396,86.0163599,3.20439133e-06
38.9045145,86.0163599,3.27903038e-06
39.8107171,86.0163599,3.35540882e-06
40.7380278,86.0163599,3.43356596e-06
41.6869383,86.0163599,3.51354492e-06
42.6579519,86.0163599,3.59538563e-06
43.6515832,86.0163599,3.67913318e-06
44.6683592,86.0163599,3.76483067e-06
45.708819,86.0163599,3.85252496e-06
46.7735141,86.0163599,3.94226142e-06
47.8630092,86.0163599,4.03408899e-06
48.9778819,86.0163599,4.12805463e-06
50.1187234,86.0163599,4.22420911e-06
51.2861384,86.0163599,4.32260421e-06
52.480746,86.0163599,4.4232905e-06
53.7031796,86.0163599,4.52632185e-06
54.9540874,86.0163599,4.6317534e-06
56.2341325,86.0163599,4.73964098e-06
57.5439937,86.0163599,4.85004091e-06
58.8843655,86.0163599,4.96301222e-06
60.2559586,86.0163599,5.07861637e-06
61.6595002,86.0163599,5.19691321e-06
63.0957344,86.0163599,5.31796509e-06
64.5654229,86.0163599,5.44183618e-06
66.0693448,86.0163599,5.56859308e-06
67.6082975,86.0163599,5.69830179e-06
69.1830971,86.0163599,5.83103151e-06
70.7945784,86.0163599,5.96685369e-06
72.443596,86.0163599,6.10583969e-06
74.1310241,86.0163599,6.24806258e-06
75.8577575,86.0163599,6.3935988e-06
77.6247117,86.0163599,6.54252555e-06
79.4328235,86.0163599,6.6949213e-06
81.2830516,86.0163599,6.85086384e-06
83.1763771,86.0163599,7.01044142e-06
85.1138038,86.0163599,7.17373535e-06
87.096359,86.0163599,7.34083413e-06
89.1250938,86.0163599,7.51182296e-06
91.2010839,86.0163599,7.68679541e-06
93.3254301,86.0163599,7.86584483e-06
95.4992586,86.0163599,8.04906235e-06
97.7237221,86.0163599,8.23654936e-06
100.0,86.0163599,8.42840399e-06
102.329299,86.0163599,8.62472533e-06
104.712855,86.0163599,8.8256221e-06
107.151931,86.0163599,9.03119616e-06
109.64782,86.0163599,9.24155988e-06
112.201845,86.0163599,9.45682473e-06
114.815362,86.0163599,9.67710181e-06
117.489755,86.0163599,9.90251005e-06
120.226443,86.0163599,1.01331682e-05
123.026877,86.0163599,1.03692007e-05
125.892541,86.0163599,1.06107293e-05
128.824955,86.0163599,1.08578858e-05
131.825674,86.0163599,1.11107986e-05
134.896288,86.0163599,1.13696001e-05
138.038426,86.0163599,1.16344327e-05
141.253754,86.0163599,1.19054349e-05
144.543977,86.0163599,1.21827443e-05
147.910839,86.0163599,1.24665173e-05
151.356125,86.0163599,1.27569018e-05
154.881662,86.0163599,1.30540479e-05
