Frequency_Hz,Gain_dB,Phase_deg
1.0,86.0163615,8.42647495e-08
1.02331731,86.0163615,8.62295777e-08
1.04717833,86.0163615,8.82402176e-08
1.07159571,86.0163615,9.02977444e-08
1.09658244,86.0163615,9.24032357e-08
1.1221518,86.0163615,9.45578244e-08
1.14831737,86.0163615,9.67626658e-08
1.17509304,86.0163615,9.90189028e-08
1.20249306,86.0163615,1.01327768e-07
1.23053197,86.0163615,1.03690479e-07
1.25922467,86.0163615,1.06108242e-07
1.2885864,86.0163615,1.08582408e-07
1.31863278,86.0163615,1.11114254e-07
1.34937975,86.0163615,1.13705141e-07
1.38084366,86.0163615,1.16356428e-07
1.41304123,86.0163615,1.19069565e-07
1.44598955,86.0163615,1.21845931e-07
1.47970615,86.0163615,1.24687053e-07
1.51420892,86.0163615,1.27594434e-07
1.5495162,86.0163615,1.30569587e-07
1.58564676,86.0163615,1.33614105e-07
1.62261978,86.0163615,1.3672963e-07
1.66045492,86.0163615,1.39917809e-07
1.69917227,86.0163615,1.43180333e-07
1.7387924,86.0163615,1.46518909e-07
1.77933637,86.0163615,1.4993533e-07
1.82082571,86.0163615,1.53431419e-07
1.86328248,86.0163615,1.5700904e-07
1.90672922,86.0163615,1.60670043e-07
1.95118902,86.0163615,1.64416448e-07
1.99668551,86.0163615,1.68250189e-07
2.04324285,86.0163615,1.72173337e-07
2.09088579,86.0163615,1.76187958e-07
2.13963963,86.0163615,1.80296196e-07
2.18953028,86.0163615,1.84500218e-07
2.24058424,86.0163615,1.88802265e-07
2.29282865,86.0163615,1.93204644e-07
2.34629126,86.0163615,1.9770962e-07
2.40100046,86.0163615,2.02319669e-07
2.45698535,86.0163615,2.07037255e-07
2.51427565,86.0163615,2.11864779e-07
2.5729018,86.0163615,2.16804905e-07
2.63289496,86.0163615,2.21860219e-07
2.694287,86.0163615,2.27033447e-07
2.75711053,86.0163615,2.32327202e-07
2.82139895,86.0163615,2.37744489e-07
2.88718639,86.0163615,2.43288028e-07
2.95450782,86.0163615,2.48960866e-07
3.02339901,86.0163615,2.54765901e-07
3.09389655,86.0163615,2.60706416e-07
3.16603791,86.0163615,2.66785363e-07
3.23986141,86.0163615,2.73006123e-07
3.31540628,86.0163615,2.79371853e-07
3.39271264,86.0163615,2.85886048e-07
3.47182159,86.0163615,2.92552134e-07
3.55277514,86.0163615,2.99373648e-07
3.63561632,86.0163615,3.06354273e-07
3.72038912,86.0163615,3.13497625e-07
3.80713861,86.0163615,3.20807549e-07
3.89591085,86.0163615,3.28287937e-07
3.98675303,86.0163615,3.35942695e-07
4.0797134,86.0163615,3.43775961e-07
4.17484136,86.0163615,3.51791953e-07
4.27218745,86.0163615,3.59994795e-07
4.37180338,86.0163615,3.68388883e-07
4.47374209,86.0163615,3.76978791e-07
4.57805774,86.0163615,3.85768825e-07
4.68480575,86.0163615,3.94764014e-07
4.79404284,86.0163615,4.03968709e-07
4.90582704,86.0163615,4.13388234e-07
5.02021775,86.0163615,4.23027413e-07
5.13727574,86.0163615,4.32891199e-07
5.25706322,86.0163615,4.42985095e-07
5.37964381,86.0163615,4.5331427e-07
5.50508265,86.0163615,4.63884375e-07
5.63344639,86.0163615,4.74700895e-07
5.76480323,86.0163615,4.85769674e-07
5.89922296,86.0163615,4.97096534e-07
6.03677699,86.0163615,5.08687483e-07
6.17753842,86.0163615,5.20548644e-07
6.32158202,86.0163615,5.32686499e-07
6.46898433,86.0163615,5.45107379e-07
6.61982367,86.0163615,5.57817731e-07
6.77418018,86.0163615,5.70824598e-07
6.93213587,86.0163615,5.84134673e-07
7.09377465,86.0163615,5.97755176e-07
7.25918242,86.0163615,6.11693122e-07
7.42844706,86.0163615,6.25956171e-07
7.60165849,86.0163615,6.40551751e-07
7.77890875,86.0163615,6.55487693e-07
7.96029201,86.0163615,6.70771987e-07
8.14590464,86.0163615,6.86412634e-07
8.33584525,86.0163615,7.02417907e-07
8.53021477,86.0163615,7.18796471e-07
8.72911647,86.0163615,7.3555681e-07
8.93265602,86.0163615,7.52708016e-07
9.14094156,86.0163615,7.70259118e-07
9.35408377,86.0163615,7.88219461e-07
9.57219588,86.0163615,8.06598649e-07
9.79539377,86.0163615,8.25406354e-07
10.023796,86.0163615,8.44652645e-07
10.257524,86.0163615,8.64347619e-07
10.496702,86.0163615,8.84501958e-07
10.7414568,86.0163615,9.05126024e-07
10.9919188,86.0163615,9.26231265e-07
11.2482208,86.0163615,9.47828515e-07
11.5104991,86.0163615,9.69929308e-07
11.778893,86.0163615,9.92545406e-07
12.0535452,86.0163615,1.01568881e-06
12.3346015,86.0163615,1.03937197e-06
12.6222112,86.0163615,1.06360742e-06
12.9165273,86.0163615,1.08840798e-06
13.217706,86.0163615,1.11378645e-06
13.5259074,86.0163615,1.13975708e-06
13.8412952,86.0163615,1.16633326e-06
14.1640371,86.0163615,1.193529e-06
14.4943044,86.0163615,1.22135882e-06
14.8322726,86.0163615,1.24983765e-06
15.1781214,86.0163615,1.2789804e-06
15.5320344,86.0163615,1.30880296e-06
15.8941997,86.0163615,1.33932051e-06
16.2648098,86.0163615,1.37054991e-06
16.6440614,86.0163615,1.4025075e-06
17.0321562,86.0163615,1.43521055e-06
17.4293004,86.0163615,1.46867567e-06
17.8357048,86.0163615,1.50292083e-06
18.2515856,86.0163615,1.53796508e-06
18.6771635,86.0163615,1.5738263e-06
19.1126648,86.0163615,1.61052372e-06
19.5583208,86.0163615,1.64807702e-06
20.0143683,86.0163615,1.68650585e-06
