Frequency_Hz,Gain_Diff_dB,Gain_CM_dB,CMRR_dB
1.0,86.0163615,-105.425241,191.4416025
1.02331731,86.0163615,-107.60099,193.61735149999998
1.04717833,86.0163615,-106.106187,192.1225485
1.07159571,86.0163615,-100.634536,186.65089749999999
1.09658244,86.0163615,-100.902913,186.9192745
1.1221518,86.0163615,-106.560903,192.5772645
1.14831737,86.0163615,-100.918017,186.9343785
1.17509304,86.0163615,-106.97897,192.99533150000002
1.20249306,86.0163615,-123.602053,209.6184145
1.23053197,86.0163615,-122.989145,209.0055065
1.25922467,86.0163615,-122.891809,208.90817049999998
1.2885864,86.0163615,-105.060147,191.0765085
1.31863278,86.0163615,-135.539878,221.5562395
1.34937975,86.0163615,-119.819487,205.8358485
1.38084366,86.0163615,-100.942291,186.9586525
1.41304123,86.0163615,-120.407756,206.42411750000002
1.44598955,86.0163615,-106.587338,192.6036995
1.47970615,86.0163615,-127.260706,213.2770675
1.51420892,86.0163615,-108.444606,194.46096749999998
1.5495162,86.0163615,-138.072812,224.08917350000002
1.58564676,86.0163615,-106.362837,192.3791985
1.62261978,86.0163615,-106.05934,192.0757015
1.66045492,86.0163615,-135.591828,221.60818949999998
1.69917227,86.0163615,-133.744941,219.7613025
1.7387924,86.0163615,-134.938443,220.95480450000002
1.77933637,86.0163615,-100.957738,186.97409950000002
1.82082571,86.0163615,-138.570347,224.5867085
1.86328248,86.0163615,-106.637939,192.6543005
1.90672922,86.0163615,-99.8503281,185.8666896
1.95118902,86.0163615,-133.753731,219.77009249999998
1.99668551,86.0163615,-137.21014,223.22650149999998
2.04324285,86.0163615,-100.963583,186.9799445
2.09088579,86.0163615,-106.340181,192.3565425
2.13963963,86.0163615,-132.308482,218.3248435
2.18953028,86.0163615,-106.06211,192.0784715
2.24058424,86.0163615,-106.953815,192.9701765
2.29282865,86.0163615,-135.864616,221.88097750000003
2.34629126,86.0163615,-107.46146,193.4778215
2.40100046,86.0163615,-106.147425,192.16378650000001
2.45698535,86.0163615,-106.084268,192.1006295
2.51427565,86.0163615,-106.984589,193.0009505
2.5729018,86.0163615,-128.050531,214.0668925
2.63289496,86.0163615,-106.992333,193.0086945
2.694287,86.0163615,-140.297439,226.3138005
2.75711053,86.0163615,-105.941512,191.9578735
2.82139895,86.0163615,-100.663063,186.67942449999998
2.88718639,86.0163615,-106.169356,192.1857175
2.95450782,86.0163615,-106.715118,192.7314795
3.02339901,86.0163615,-106.295323,192.3116845
3.09389655,86.0163615,-107.737697,193.75405849999999
3.16603791,86.0163615,-100.715455,186.7318165
3.23986141,86.0163615,-105.490128,191.5064895
3.31540628,86.0163615,-107.081926,193.0982875
3.39271264,86.0163615,-136.299404,222.3157655
3.47182159,86.0163615,-126.557653,212.5740145
3.55277514,86.0163615,-129.715229,215.73159049999998
3.63561632,86.0163615,-100.117026,186.1333875
3.72038912,86.0163615,-106.556309,192.57267050000002
3.80713861,86.0163615,-104.987588,191.0039495
3.89591085,86.0163615,-119.780964,205.7973255
3.98675303,86.0163615,-107.74373,193.7600915
4.0797134,86.0163615,-107.05487,193.0712315
4.17484136,86.0163615,-101.2994,187.3157615
4.27218745,86.0163615,-99.8414707,185.85783220000002
4.37180338,86.0163615,-107.256608,193.2729695
4.47374209,86.0163615,-109.100392,195.11675350000002
4.57805774,86.0163615,-104.912873,190.9292345
4.68480575,86.0163615,-109.240442,195.2568035
4.79404284,86.0163615,-116.827001,202.8433625
4.90582704,86.0163615,-103.86624,189.88260150000002
5.02021775,86.0163615,-115.976627,201.9929885
5.13727574,86.0163615,-108.886558,194.9029195
5.25706322,86.0163615,-104.213783,190.2301445
5.37964381,86.0163615,-117.626964,203.6433255
5.50508265,86.0163615,-102.455615,188.47197649999998
5.63344639,86.0163615,-110.493476,196.5098375
5.76480323,86.0163615,-114.545547,200.56190850000002
5.89922296,86.0163615,-103.030508,189.0468695
6.03677699,86.0163615,-110.299771,196.3161325
6.17753842,86.0163615,-110.404838,196.4211995
6.32158202,86.0163615,-111.416225,197.4325865
6.46898433,86.0163615,-112.499774,198.51613550000002
6.61982367,86.0163615,-102.727281,188.74364250000002
6.77418018,86.0163615,-113.450576,199.4669375
6.93213587,86.0163615,-112.181633,198.1979945
7.09377465,86.0163615,-112.410902,198.42726349999998
7.25918242,86.0163615,-115.124464,201.1408255
7.42844706,86.0163615,-116.001594,202.0179555
7.60165849,86.0163615,-116.29074,202.3071015
7.77890875,86.0163615,-116.136838,202.1531995
7.96029201,86.0163615,-101.468385,187.4847465
8.14590464,86.0163615,-108.820689,194.8370505
8.33584525,86.0163615,-117.793771,203.8101325
8.53021477,86.0163615,-105.540677,191.5570385
8.72911647,86.0163615,-107.517511,193.5338725
8.93265602,86.0163615,-134.114585,220.1309465
9.14094156,86.0163615,-100.642068,186.6584295
9.35408377,86.0163615,-107.046536,193.06289750000002
9.57219588,86.0163615,-123.308815,209.3251765
9.79539377,86.0163615,-101.774733,187.79109449999999
10.023796,86.0163615,-108.846617,194.8629785
10.257524,86.0163615,-116.276636,202.2929975
10.496702,86.0163615,-104.279333,190.2956945
10.7414568,86.0163615,-102.719863,188.7362245
10.9919188,86.0163615,-111.345644,197.3620055
11.2482208,86.0163615,-112.108491,198.1248525
11.5104991,86.0163615,-104.267948,190.2843095
11.778893,86.0163615,-99.5334258,185.5497873
12.0535452,86.0163615,-105.470353,191.4867145
12.3346015,86.0163615,-127.359592,213.3759535
12.6222112,86.0163615,-106.443103,192.4594645
12.9165273,86.0163615,-124.041129,210.0574905
13.217706,86.0163615,-123.584431,209.6007925
13.5259074,86.0163615,-110.213444,196.2298055
13.8412952,86.0163615,-103.460218,189.4765795
14.1640371,86.0163615,-111.902695,197.9190565
14.4943044,86.0163615,-115.538908,201.5552695
14.8322726,86.0163615,-107.899094,193.9154555
15.1781214,86.0163615,-106.450697,192.4670585
15.5320344,86.0163615,-97.2629812,183.2793427
15.8941997,86.0163615,-109.368416,195.38477749999998
16.2648098,86.0163615,-111.108041,197.1244025
16.6440614,86.0163615,-114.027755,200.0441165
17.0321562,86.0163615,-104.445823,190.4621845
17.4293004,86.0163615,-108.300044,194.3164055
17.8357048,86.0163615,-99.4948318,185.5111933
18.2515856,86.0163615,-104.080626,190.0969875
18.6771635,86.0163615,-113.892715,199.9090765
19.1126648,86.0163615,-101.687323,187.7036845
19.5583208,86.0163615,-106.145769,192.1621305
20.0143683,86.0163615,-121.960225,207.9765865
20.4810496,86.0163615,-111.51984,197.5362015
20.9586127,86.0163615,-115.001042,201.0174035
21.4473113,86.0163615,-107.197774,193.2141355
21.9474049,86.0163615,-109.867022,195.8833835
22.4591595,86.0163615,-114.40064,200.4170015
22.9828467,86.0163615,-126.233732,212.2500935
23.518745,86.0163615,-120.234795,206.2511565
24.067139,86.0163615,-98.9093382,184.9256997
24.62832,86.0163615,-135.586391,221.6027525
25.2025863,86.0163615,-103.988397,190.0047585
25.7902429,86.0163615,-102.482608,188.4989695
26.3916021,86.0163615,-100.750911,186.7672725
27.0069833,86.0163615,-103.612834,189.6291955
27.6367137,86.0163615,-130.573542,216.5899035
28.2811276,86.0163615,-111.733582,197.7499435
28.9405675,86.0163615,-97.4068675,183.423229
29.6153838,86.0163615,-103.038629,189.0549905
30.305935,86.0163615,-106.14571,192.1620715
31.012588,86.0163615,-111.351862,197.3682235
31.7357183,86.0163615,-108.773324,194.78968550000002
32.47571,86.0163615,-107.675053,193.6914145
33.2329563,86.0163615,-110.844185,196.8605465
34.0078596,86.0163615,-132.115268,218.13162949999997
34.8008315,86.0163615,-101.348694,187.36505549999998
35.6122934,86.0163615,-110.140752,196.1571135
36.4426765,86.0163615,-115.740928,201.7572895
37.2924218,86.0163615,-122.422166,208.43852750000002
38.1619809,86.0163615,-127.064014,213.0803755
39.0518158,86.0163615,-105.729841,191.74620249999998
39.9623992,86.0163615,-100.768787,186.7851485
40.8942151,86.0163615,-100.167283,186.1836445
41.8477583,86.0163615,-137.246558,223.2629195
42.8235356,86.0163615,-97.1763056,183.1926671
43.8220655,86.0163615,-104.752741,190.7691025
44.8438783,86.0163615,-111.758329,197.77469050000002
45.8895171,86.0163615,-115.772443,201.7888045
46.9595374,86.0163615,-106.899276,192.9156375
48.0545077,86.0163615,-110.453652,196.4700135
49.1750097,86.0163615,-119.87231,205.8886715
50.3216388,86.0163615,-99.6890923,185.7054538
51.4950043,86.0163615,-105.091107,191.10746849999998
52.6957295,86.0163615,-103.468934,189.4852955
53.9244523,86.0163615,-101.619724,187.6360855
55.1818257,86.0163615,-124.733827,210.7501885
56.4685177,86.0163615,-100.643619,186.65998050000002
57.7852118,86.0163615,-105.080935,191.0972965
59.1326078,86.0163615,-105.997072,192.01343350000002
60.5114213,86.0163615,-123.802788,209.8191495
61.9223852,86.0163615,-103.562908,189.5792695
63.3662489,86.0163615,-105.649958,191.6663195
64.8437796,86.0163615,-104.298712,190.31507349999998
66.3557623,86.0163615,-106.919996,192.93635749999999
67.9030005,86.0163615,-102.1056,188.1219615
69.4863161,86.0163615,-102.978533,188.9948945
71.1065503,86.0163615,-111.413224,197.4295855
72.7645641,86.0163615,-103.548666,189.56502749999999
74.4612383,86.0163615,-133.375899,219.39226050000002
76.1974743,86.0163615,-114.436902,200.4532635
77.9741948,86.0163615,-106.696528,192.71288950000002
79.7923435,86.0163615,-105.100756,191.1171175
81.6528867,86.0163615,-119.903303,205.9196645
83.5568127,86.0163615,-105.398775,191.41513650000002
85.5051331,86.0163615,-110.118751,196.1351125
87.4988831,86.0163615,-117.591871,203.60823249999999
89.5391221,86.0163615,-102.711933,188.7282945
91.6269339,86.0163615,-103.176734,189.1930955
93.7634279,86.0163615,-110.103825,196.1201865
95.9497392,86.0163615,-105.346202,191.36256350000002
98.1870294,86.0163615,-106.839564,192.8559255
100.476487,86.0163615,-107.280907,193.2972685
102.819329,86.0163615,-107.621364,193.6377255
105.2168,86.0163615,-107.989945,194.0063065
107.670173,86.0163615,-118.128191,204.1445525
110.180752,86.0163615,-105.100247,191.11660849999998
112.749871,86.0163615,-113.817208,199.8335695
115.378895,86.0163615,-109.742647,195.7590085
118.069221,86.0163615,-112.302022,198.31838349999998
120.822278,86.0163615,-118.315791,204.3321525
123.639529,86.0163615,-109.353193,195.3695545
126.522471,86.0163615,-114.909791,200.9261525
129.472635,86.0163615,-104.406193,190.4225545
