Time_s,Time_ns,Vin_V,Vout_V,Vout_AC_V
4.63272373e-07,0.22329309096627503,1.21188778e-06,-17.1677434,-4.371675615646463
4.63566562e-07,0.5174820909662352,2.80830736e-06,-17.1570078,-4.360940015646463
4.63935018e-07,0.885938090966242,4.80667626e-06,-17.1435625,-4.347494715646466
4.64459972e-07,1.4108920909662734,7.65032059e-06,-17.1244051,-4.328337315646465
4.64908853e-07,1.8597730909662715,1.00770442e-05,-17.1077612,-4.311693415646463
4.65262413e-07,2.213333090966241,1.19843087e-05,-17.0945455,-4.298477715646463
4.65671742e-07,2.622662090966231,1.4186858e-05,-17.0824153,-4.286347515646465
4.66020505e-07,2.97142509096627,1.60580244e-05,-17.0780535,-4.281985715646464
4.66348836e-07,3.2997560909662544,1.78143213e-05,-17.0792381,-4.2831703156464656
4.66543243e-07,3.4941630909662567,1.88516101e-05,-17.0815029,-4.2854351156464645
4.66664386e-07,3.615306090966251,1.94969297e-05,-17.0830747,-4.287006915646465
4.66793709e-07,3.744629090966272,2.01848986e-05,-17.0845093,-4.288441515646465
4.66918143e-07,3.86906309096624,2.08459186e-05,-17.0854943,-4.289426515646465
4.67037413e-07,3.988333090966269,2.1478611e-05,-17.0861118,-4.290044015646465
4.67121703e-07,4.0726230909662515,2.19252065e-05,-17.0864334,-4.290365615646465
4.67196496e-07,4.147416090966248,2.2321099e-05,-17.0867139,-4.290646115646464
4.6727481e-07,4.225730090966257,2.27352294e-05,-17.0870751,-4.291007315646464
4.67346171e-07,4.297091090966244,2.31122396e-05,-17.0875056,-4.291437815646464
4.674332e-07,4.384120090966263,2.35715549e-05,-17.0881796,-4.292111815646464
4.67525817e-07,4.476737090966276,2.40597822e-05,-17.0890387,-4.292970915646464
4.67607267e-07,4.558187090966227,2.44886448e-05,-17.089853,-4.293785215646466
4.67693238e-07,4.644158090966272,2.49407907e-05,-17.0906914,-4.294623615646465
4.67789322e-07,4.740242090966262,2.54454802e-05,-17.0915196,-4.295451815646466
4.67903863e-07,4.854783090966237,2.60462133e-05,-17.0923099,-4.296242115646464
4.68056072e-07,5.006992090966267,2.68429353e-05,-17.0931328,-4.297065015646464
4.68166125e-07,5.117045090966267,2.74178618e-05,-17.0936805,-4.297612715646466
4.68260181e-07,5.211101090966258,2.79084463e-05,-17.0941951,-4.2981273156464646
4.68350913e-07,5.301833090966262,2.83810005e-05,-17.0947733,-4.298705515646464
4.68458496e-07,5.409416090966249,2.89404254e-05,-17.0955636,-4.299495815646463
4.68568881e-07,5.519801090966235,2.95133976e-05,-17.0964416,-4.300373815646463
4.68669763e-07,5.620683090966265,3.00361161e-05,-17.0972433,-4.301175515646463
4.68790084e-07,5.741004090966243,3.06583772e-05,-17.0981305,-4.302062715646464
4.68923049e-07,5.87396909096624,3.13445101e-05,-17.0989997,-4.3029319156464645
4.69082623e-07,6.033543090966252,3.21657903e-05,-17.0999487,-4.303880915646463
4.69219701e-07,6.1706210909662405,3.28693646e-05,-17.1007559,-4.304688115646464
4.69351954e-07,6.30287409096625,3.35464517e-05,-17.1015773,-4.305509515646463
4.69509513e-07,6.460433090966259,3.43508381e-05,-17.1026191,-4.3065513156464625
4.69674716e-07,6.625636090966255,3.51915483e-05,-17.1037383,-4.307670515646464
4.69839792e-07,6.790712090966268,3.60287878e-05,-17.1048297,-4.308761915646464
4.70032944e-07,6.983864090966271,3.70047459e-05,-17.1060441,-4.3099763156464626
4.70244115e-07,7.195035090966257,3.80670979e-05,-17.1073232,-4.311255415646464
4.7052177e-07,7.472690090966274,3.94562782e-05,-17.1090006,-4.312932815646466
4.70836102e-07,7.7870220909662455,4.10181274e-05,-17.1109117,-4.314843915646463
4.71123341e-07,8.074261090966248,4.24349322e-05,-17.1126393,-4.316571515646466
4.7150316e-07,8.454080090966233,4.42924985e-05,-17.1148642,-4.318796415646464
4.71944837e-07,8.895757090966251,4.64288586e-05,-17.1173826,-4.321314815646463
4.72678665e-07,9.629585090966247,4.99187591e-05,-17.1214429,-4.325375115646466
4.7338444e-07,10.335360090966232,5.32006085e-05,-17.125194,-4.329126215646465
4.74795988e-07,11.746908090966246,5.95254305e-05,-17.1322301,-4.336162315646465
4.76508369e-07,13.459289090966234,6.67260246e-05,-17.1399514,-4.343883615646465
4.79402426e-07,16.35334609096628,7.75561418e-05,-17.1510163,-4.354948515646463
4.8159026e-07,18.541180090966254,8.44886103e-05,-17.1577564,-4.3616886156464645
4.83933641e-07,20.884561090966244,9.05918171e-05,-17.1634603,-4.367392515646465
4.86551041e-07,23.50196109096624,9.56746989e-05,-17.168023,-4.371955215646466
4.89445098e-07,26.39601809096629,9.90477964e-05,-17.1709039,-4.374836115646463
