Time_s,Time_ns,Vin_V,Vout_V,Vout_AC_V
1.16109069e-07,0.3467990227415593,7.52194184e-06,-18.6907775,-17.33398056684326
1.16832584e-07,1.0703140227415606,2.30284621e-05,-18.7084001,-17.351603166843258
1.17556098e-07,1.7938280227415582,3.79679453e-05,-18.7259624,-17.36916546684326
1.18249529e-07,2.487259022741565,5.14134415e-05,-18.6513683,-17.29457136684326
1.18926976e-07,3.1647060227415587,6.34279627e-05,-18.355094,-16.99829706684326
1.19558814e-07,3.7965440227415685,7.34040278e-05,-17.9134173,-16.55662036684326
1.20223621e-07,4.461351022741569,8.24085691e-05,-17.3900288,-16.03323186684326
1.20639382e-07,4.877112022741572,8.7179304e-05,-17.0575157,-15.70071876684326
1.21166098e-07,5.403828022741562,9.21995974e-05,-16.6370262,-15.28022926684326
1.21421558e-07,5.659288022741562,9.42042199e-05,-16.4325493,-15.075752366843261
1.21591045e-07,5.828775022741561,9.53746807e-05,-16.2965812,-14.939784266843258
1.2175837e-07,5.996100022741553,9.64035558e-05,-16.1622478,-14.805450866843259
1.21906786e-07,6.144516022741562,9.72097398e-05,-16.0431409,-14.68634396684326
1.21997657e-07,6.235387022741568,9.76535833e-05,-15.9702575,-14.61346056684326
1.22075846e-07,6.313576022741574,9.8005071e-05,-15.9075683,-14.550771366843259
1.2214623e-07,6.383960022741564,9.82973179e-05,-15.8511443,-14.49434736684326
1.22216977e-07,6.454707022741574,9.85679446e-05,-15.794421,-14.43762406684326
1.22305639e-07,6.54336902274156,9.88742619e-05,-15.7233072,-14.36651026684326
1.2238725e-07,6.624980022741566,9.91238406e-05,-15.6578191,-14.301022166843259
1.22465296e-07,6.703026022741557,9.93334072e-05,-15.5951716,-14.23837466684326
1.22548088e-07,6.785818022741558,9.95245472e-05,-15.5287053,-14.17190836684326
1.22648393e-07,6.88612302274156,9.97130345e-05,-15.4481918,-14.09139486684326
1.2276623e-07,7.003960022741552,9.98740589e-05,-15.353636,-13.99683906684326
1.2294608e-07,7.1838100227415564,9.99937879e-05,-15.2093512,-13.85255426684326
1.23064436e-07,7.302166022741552,9.99894161e-05,-15.1143907,-13.757593766843259
1.23166649e-07,7.404379022741567,9.99325143e-05,-15.0323577,-13.67556076684326
1.23278259e-07,7.51598902274155,9.98141805e-05,-14.9427554,-13.585958466843259
1.23394231e-07,7.631961022741553,9.96291382e-05,-14.8496337,-13.49283676684326
1.23508451e-07,7.746181022741554,9.93851584e-05,-14.7579237,-13.401126766843259
1.23639621e-07,7.877351022741552,9.90295962e-05,-14.6526296,-13.295832666843259
1.23786621e-07,8.024351022741559,9.85357096e-05,-14.5346546,-13.17785766684326
1.2396207e-07,8.199800022741561,9.78149249e-05,-14.3938453,-13.03704836684326
1.24111658e-07,8.34938802274156,9.70882671e-05,-14.273763,-12.91696606684326
1.24267371e-07,8.505101022741568,9.6223097e-05,-14.1487316,-12.79193466684326
1.24461818e-07,8.699548022741558,9.49884517e-05,-13.9925845,-12.635787566843259
1.24682273e-07,8.920003022741552,9.33840637e-05,-13.8155711,-12.45877416684326
1.24897483e-07,9.135213022741551,9.16115121e-05,-13.6427886,-12.285991666843259
1.25162497e-07,9.400227022741559,8.91544757e-05,-13.4300102,-12.07321326684326
1.25500582e-07,9.738312022741562,8.5592849e-05,-13.1585254,-11.80172846684326
1.25879932e-07,10.117662022741568,8.10487931e-05,-12.8538887,-11.49709176684326
1.26273125e-07,10.510855022741575,7.57594384e-05,-12.5381381,-11.181341166843259
1.2686858e-07,11.106310022741571,6.67124911e-05,-12.0599604,-10.70316346684326
1.27495278e-07,11.733008022741556,5.59914279e-05,-11.5566872,-10.19989026684326
1.28218793e-07,12.456523022741571,4.23406952e-05,-10.9756812,-9.61888426684326
1.28942307e-07,13.180037022741555,2.76473943e-05,-10.394709,-9.03791206684326
1.29665821e-07,13.903551022741567,1.22733228e-05,-9.81378076,-8.45698382684326
1.30193371e-07,14.431101022741565,8.50891902e-07,-9.39022327,-8.03342633684326
1.30687994e-07,14.925724022741553,-9.87157951e-06,-8.99312141,-7.636324476843259
1.3103548e-07,15.273210022741566,-1.7343687e-05,-8.71416111,-7.357364176843258
1.31432816e-07,15.670546022741567,-2.576436e-05,-8.39520253,-7.038405596843259
1.3175191e-07,15.989640022741554,-3.23910617e-05,-8.13907141,-6.782274476843258
1.32100825e-07,16.338555022741563,-3.94580887e-05,-7.85902396,-6.502227026843259
1.32437687e-07,16.67541702274155,-4.60667076e-05,-7.5886706,-6.231873666843259
1.32825323e-07,17.06305302274157,-5.33645057e-05,-7.27758088,-5.920783946843259
1.33242889e-07,17.480619022741553,-6.08017475e-05,-6.94137095,-5.584574016843258
1.33741628e-07,17.97935802274157,-6.90254447e-05,-6.53692906,-5.180132126843259
1.34087731e-07,18.325461022741568,-7.4262518e-05,-6.25566342,-4.898866486843259
1.34409837e-07,18.64756702274155,-7.87605429e-05,-5.99498212,-4.638185186843259
1.34747824e-07,18.98555402274157,-8.30660153e-05,-5.72268716,-4.365890226843259
1.35019365e-07,19.257095022741563,-8.62022129e-05,-5.50408523,-4.147288296843259
1.35401008e-07,19.638738022741574,-9.01014633e-05,-5.19625184,-3.839454906843259
1.35822074e-07,20.05980402274155,-9.36852491e-05,-4.85645238,-3.499655446843259
1.36303794e-07,20.54152402274156,-9.68242707e-05,-4.46817612,-3.1113791868432585
1.36732075e-07,20.969805022741554,-9.87273411e-05,-4.12324167,-2.7664447368432583
1.37129062e-07,21.36679202274156,-9.97298486e-05,-3.80356187,-2.446764936843259
1.37568451e-07,21.806181022741562,-9.99760808e-05,-3.44982215,-2.093025216843259
1.37987419e-07,22.22514902274155,-9.93641111e-05,-3.11267319,-1.755876256843259
1.38480707e-07,22.718437022741565,-9.75912924e-05,-2.71589503,-1.3590980968432589
1.3896597e-07,23.20370002274156,-9.47560359e-05,-2.32572965,-0.9689327168432589
1.39689484e-07,23.927214022741573,-8.85901489e-05,-1.74429016,-0.38749322684325893
1.40412999e-07,24.65072902274156,-8.02428786e-05,-1.16319315,0.1936037831567412
1.41136513e-07,25.37424302274157,-6.99197626e-05,-0.582425752,0.7743711811567411
1.41659746e-07,25.897476022741554,-6.1365172e-05,-0.162623847,1.194173086156741
1.42257303e-07,26.495033022741552,-5.0634731e-05,0.316610655,1.6734075881567412
1.42547728e-07,26.78545802274157,-4.51004543e-05,0.549452816,1.906249749156741
1.42725291e-07,26.96302102274156,-4.16271197e-05,0.691786889,2.048583822156741
1.42938661e-07,27.17639102274156,-3.73720022e-05,0.862801926,2.2195988591567413
1.4310366e-07,27.341390022741557,-3.40260671e-05,0.995031579,2.3518285121567413
1.43244154e-07,27.481884022741575,-3.11424741e-05,1.10761081,2.464407743156741
1.43356239e-07,27.59396902274156,-2.88210658e-05,1.19741602,2.554212953156741
1.43451001e-07,27.68873102274157,-2.68450498e-05,1.27333486,2.630131793156741
1.43545586e-07,27.783316022741552,-2.48614133e-05,1.34910382,2.705900753156741
1.43658747e-07,27.896477022741575,-2.24744797e-05,1.43974524,2.796542173156741
1.43739993e-07,27.977723022741554,-2.0752293e-05,1.50481786,2.861614793156741
1.43829985e-07,28.067715022741574,-1.88372126e-05,1.57689217,2.933689103156741
1.43914898e-07,28.152628022741567,-1.7023606e-05,1.64489773,3.001694663156741
1.44025734e-07,28.263464022741573,-1.46476978e-05,1.73366478,3.090461713156741
1.44158768e-07,28.396498022741557,-1.17848881e-05,1.84020544,3.1970023731567414
1.4424224e-07,28.47997002274156,-9.9834449e-06,1.90704984,3.2638467731567413
1.44316211e-07,28.55394102274157,-8.38428893e-06,1.96628073,3.323077663156741
1.44386044e-07,28.62377402274157,-6.87260169e-06,2.02219241,3.378989343156741
1.44456165e-07,28.693895022741557,-5.35309659e-06,2.07832824,3.4351251731567407
1.44526162e-07,28.763892022741576,-3.83503668e-06,2.13435908,3.4911560131567407
1.44597704e-07,28.835434022741556,-2.28255854e-06,2.19162177,3.5484187031567407
1.44676061e-07,28.913791022741563,-5.815649e-07,2.25433638,3.611133313156741
1.44763166e-07,29.000896022741568,1.30949742e-06,2.32405145,3.680848383156741
1.44850343e-07,29.088073022741565,3.20164817e-06,2.39382538,3.7506223131567413
1.4495745e-07,29.195180022741575,5.52476069e-06,2.4795538,3.836350733156741
1.45078046e-07,29.315776022741566,8.13678392e-06,2.57607561,3.9328725431567415
1.45235271e-07,29.473001022741556,1.15335195e-05,2.70189762,4.058694553156741
